guna_word;spanish_word;synonyms
A;Ese;Esa 
Abaggale;De repente;Repentinamente
Aggued;Faltar;Incompleto, perder, no alcanzar, , 
Gayaburba;Verbo;Palabras 
Gayaemalad;Sinónimo;Semejante 
Gayagan;Cañaveral;Cañal
Gaigan;Cañaveral;Cañal
Gayagannoed;Adjetivo;
Gaggagannoged;Adjetivo;
Gayanis;Jugo de caña;
Gayanisa;Jugo de caña;
Gainis;Jugo de caña;
Gainisa;Jugo de caña;
Agguedgalu;Letrina;Servicio, excusado, , , 
Gayaonabed;Bostezar;Bostezo, , , , 
Gayaugga;Bagazo de caña;
Gaiugga;Bagazo de caña;
Geb;Inicio;Primera vez, , , , 
Gebe;Inicio;Primera vez, , , , 
Gebgeg;Pez matajuelo;
Gegegwa;Bobo;Haragán, , , , 
Gegerdagged;Asombrarse;Admirar, , , , 
Geggued;Cansarse;Fatigarse, agotarse, , , 
Yegued;Cansarse;Fatigarse, agotarse, , , 
Agguiddoged;No entender;Desobedecer
Gegued;Enfermarse;Adolecer, tener fiebre, , , 
Ueleged;Enfermarse;Adolecer, Tener fiebre, , , 
Gelu;Jurel;Cojinùa, , , , 
Gelugoordiggid;Pez cojinúa amarillo;
Genu;Garrapata;
Gerged;Costoso;Caro, , , , 
Garged;Costoso;Caro, , , , 
Gesumagged;Chirriar;Rechinar, Crujir, , , 
Giaggwagwa,;Muy corto;
Giaggwa;Corto;
Aggus;Casi;Incompleto, , , , 
Sorgwagwa;Corto;Muy corto, , , , 
Giale;Corto;Muy corto, , , , 
Giaggwagwa;Corto;Muy corto, , , , 
Giamagged;Trozar;
Olomagged;Trozar;
Gidsi;Resina vegetal;
Gigga;Ave que presagia acontecimientos;
Giggadiryai;Mujer que enseñó junto a Orgun;
Giggir;Pulpo;
Gignii;Agosto;
Aggusa;Casi;incompleto, , , , 
Gisiggwi;Golondrina;tijereta, , , , 
Wirsob;Golondrina;Tijereta, , , , 
Giloged;Matar;Eliminar, , , , 
Ogiloged;Matar;Eliminar, , , , 
Oburgwed;Matar;Eliminar, , , , 
Gindagged;Matar;
Gilor;Tìo;Pariente, , , , 
Gilolo;Tìo;
Gilu;Tìo;Pariente, , , , 
Ginbinne;Enseguida;De inmediato, , , , 
Aggwa;Piedra;roca, , , , 
Ginere;Preciso;Exacto, , , , 
Gineregwa;Preciso;Exacto, , , , 
Gingi;Escopeta;Fusil, carabina, , , 
Gingub;Pòlvora;
Guingub;Pòlvora;
Ginnid;Rojo;
Gisigwad;Rosado;
Ginsunmagleged;De quien se habla;Sujeto de la oraciòn, , , , 
Coral;Atolón;
Ginsunmaglenaid;El que habla de;Predicado, , , , 
Goamagged;Descuartizar;Despedazar, Fragmentar, , , 
Gobed;Tomar;Beber, Injerir, , , 
Gobibbi;Meñique;Dedo pequeño, , , , 
Godied;Pellizcar;Arañar, Rasguñar, , , 
Goe;Bebè;Nene, Criatura, Venado, ciervo, 
Wasa;Venado;Ciervo, , , , 
Gobbir;Arbol de cocobolo;
Birgog;Fruto de cocobolo;
Gogbirgwa;Fruto de cocobolo;
Aggwadin;Arrecife;
Gogo;Organo sexual femenino;
Amma;Organo sexual femenino;
Omo;Organo sexual femenino;
Gole;Cangrejo ermitaño;
Goled;Llamar;Vocear, Convocar, Reunir, , 
Gommomagged;Chapotear;Nadar, , , , 
Dommomagged;Chapotear;Nadar, , , , 
Gonasi;Uña;
Gonu;Dedo;
Goo;Dedo;
Aggwadub;Soga de ancla;
Goordiggid;Anaranjado pàlido;Amarillento, Malaria, , , 
Goreged;Madurar;Sazonarse la fruta, , , , 
Gorgi;Pelìcano;
Gormagged;Declamar;Vocear, , , , 
Gormaggedigar;Poema;Poesìa, Verso, , , 
Gorogwa;Amarillo;
Gorosdiggigwad;Amarillento;
Gorosulid;Oscuro;Fosgo, Negro, , , 
Sibbusuli;Oscuro;Fosgo, Negro, , , 
Guaggwagwa;Listo;Preparado, Dispuesto, , , 
Aggwaduba;Soga de ancla;
Guddu;Mancha;Sombra, Tacha, , , 
Guddurgwagwad;Morado;Oscuro, , , , 
Guded;Inicio;
Onoded;Inicio;Introducciòn, , , , 
Gudii;Està;Està presente, Vive, , , 
Guggin;Hombro;
Guggualed;Aviòn;Aeronave, , , , 
Sourguggualed;Aviòn;Aeronave, , , , 
Guggualedagdeged;Aeropuerto;
Guggualedigar;Aeropuerto;Pista de aterrizaje, , , , 
Abar;Mitad;
Aggwalele;Piedra lisa para terapia;
Guggued;Volar;Elevarse, Sobrevolar, , , 
Guggur;Mosca;
Gugi;Lunar;Peca, , , , 
Ibsidsi;Lunar;Peca, , , , 
Gugigugid;Quemado;Tostado, , , , 
Gugimur;Sitio lìmite de Panamá y Colombia;
Gugimuru;Sitio limite de Panamà y Colombia;
Gugmagged;Atar;Amarrar, Sujetar, , , 
Guli;Flauta gruesa;Instrumento musical, , , , 
Gullugullud;Abollado;Machacado, Asma, , , 
Aggwanusa;Piedra lisa para terapia;
Gummagged;Quemarse;
Guna;Persona perteneciente al pueblo Guna;
Gunadule;Persona perteneciente al pueblo Guna;
Gunasuenamor;Bandera de Gunayala;
Gunasuenamola;Bandera Guna;
Gunabander;Bandera de Gunayala;
Gunaid;Acción que ocurre;Tiempo presente, , , , 
Gunayala;Territorio de los gunas;Comarca guna, , , , 
Gundileged;Ahogarse;
Gundoleged;Ahogarse;
Aggwamuu;Piedra de moler;
Diduleged;Ahogarse;
Gungi;Oro;
Or;Oro;
Olo;Oro;
Gunned;Morder;Masticar, Mordiscar, , , 
Guoed;Acción por realizarse;Tiempo futuro, , , , 
Gurgin;Sombrero;
Gurginmaddar;Boina;
Gurgur;Especie de calabaza;
Gurgwa;Hormiga candelilla;
Aggwan;Grava;Cascajo, , , , 
Gusad;Lo que se hizo;Acción pasada, Tiempo pasado, , , 
Gusar;Hasta luego;Dentro de un rato, , , , 
Gusale;hasta luego;Dentro de un rato, , , , 
Gusarmalo;Hasta luego;
Guseb;Granadilla;
Gwiseb;Granadilla;
Gusgua;Rutina;De siempre, cuando se hizo, , , 
Guu;Piojo;Liendre, , , , 
Guurgaed;Apretar;Tener paretada y firme, , , , 
Gwaada;Cargado;
Aggwanuggu;Erizo de tierra;Gato, Espinoso, , , 
Gwabba;Todo;Entero, , , , 
Gwabbid;Nuevo;Reciente, Novedoso, , , 
Gwabbiddi;Nuevo;Reciente, Novedoso, , , 
Binid;Nuevo;Reciente, , , , 
Binidi;Nuevo;Reciente, , , , 
Gwabboed;Fallar el tiro;Errar, , , , 
Dalloed;Fallar el tiro;Errar, , , , 
Dalloged;Fallar el tiro;Errar, , , , 
Gwabin;Lengua;Habla, Idioma, , , 
Gwable;Todo;Todos, , , , 
Aggwasalu;Longorón o molusco ;Molusco
Gwada;Gelatina de maíz con jugo de caña;
